"country_code","country_name","track_id","track_name","popularity","album_id","album_name"
"HK","Hong Kong","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"HK","Hong Kong","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"HK","Hong Kong","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"HK","Hong Kong","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"HK","Hong Kong","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"HK","Hong Kong","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"HK","Hong Kong","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"HK","Hong Kong","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"HK","Hong Kong","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"IE","Ireland","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"IE","Ireland","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"IE","Ireland","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"IE","Ireland","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"IE","Ireland","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"IE","Ireland","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"IE","Ireland","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"IE","Ireland","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
